trial_num,image_label,category,type,image_type,has_question,Image_Index,Image_Name,Filler_Index,Block,Part
1,C1_S8,1.0,study,target,False,Filler-7209,,,1,study
2,C1_S16,1.0,study,target,False,Filler-7154,,,1,study
3,C1_S18,1.0,study,target,False,Filler-7588,,,1,study
4,C1_S2,1.0,study,target,False,Target-2047,,,1,study
5,C1_S13,1.0,study,target,False,Filler-5430,,,1,study
6,C1_S15,1.0,study,target,False,Filler-434,,,1,study
7,C1_S5,1.0,study,target,False,Target-1306,,,1,study
8,C1_S11,1.0,study,target,False,Filler-6752,,,1,study
9,C1_S9,1.0,study,target,False,Filler-5327,,,1,study
10,C1_S4,1.0,study,target,False,Filler-6342,,,1,study
11,C1_S7,1.0,study,target,False,Filler-15,,,1,study
12,C1_S14,1.0,study,target,False,Filler-1599,,,1,study
13,C1_S19,1.0,study,target,False,Filler-6355,,,1,study
14,C1_S10,1.0,study,target,False,Filler-1473,,,1,study
15,C1_S17,1.0,study,target,False,Filler-1161,,,1,study
16,C1_S12,1.0,study,target,False,Target-195,,,1,study
17,C1_S3,1.0,study,target,False,Filler-4631,,,1,study
18,C1_S1,1.0,study,target,False,Target-113,,,1,study
19,C1_S6,1.0,study,target,False,Filler-1856,,,1,study
20,C1_S20,1.0,study,target,False,Target-270,,,1,study
21,F1,,study,filler,True,fillers_images/human2.jpg,human2.jpg,1.0,1,study
22,C1_S30,1.0,study,target,False,Filler-1113,,,1,study
23,C2_S3,2.0,study,target,False,Filler-7468,,,1,study
24,C2_S10,2.0,study,target,False,Target-409,,,1,study
25,C2_S7,2.0,study,target,False,Filler-180,,,1,study
26,C2_S5,2.0,study,target,False,Target-1286,,,1,study
27,C2_S6,2.0,study,target,False,Filler-6958,,,1,study
28,C2_S8,2.0,study,target,False,Target-1637,,,1,study
29,C1_S27,1.0,study,target,False,Target-1458,,,1,study
30,C1_S28,1.0,study,target,False,Filler-7629,,,1,study
31,C2_S1,2.0,study,target,False,Filler-6730,,,1,study
32,C2_S4,2.0,study,target,False,Filler-243,,,1,study
33,C1_S21,1.0,study,target,False,Filler-1571,,,1,study
34,C2_S9,2.0,study,target,False,Filler-7460,,,1,study
35,C1_S23,1.0,study,target,False,Target-1021,,,1,study
36,C1_S25,1.0,study,target,False,Target-328,,,1,study
37,C2_S2,2.0,study,target,False,Filler-4855,,,1,study
38,C1_S22,1.0,study,target,False,Filler-4319,,,1,study
39,C1_S26,1.0,study,target,False,Filler-395,,,1,study
40,C1_S24,1.0,study,target,False,Target-332,,,1,study
41,C1_S29,1.0,study,target,False,Target-1988,,,1,study
42,F2,,study,filler,True,fillers_images/nonhuman7.jpg,nonhuman7.jpg,2.0,1,study
43,C2_S23,2.0,study,target,False,Filler-7187,,,1,study
44,C2_S18,2.0,study,target,False,Filler-5799,,,1,study
45,C2_S17,2.0,study,target,False,Filler-2539,,,1,study
46,C2_S11,2.0,study,target,False,Filler-6110,,,1,study
47,C2_S24,2.0,study,target,False,Filler-5836,,,1,study
48,C2_S14,2.0,study,target,False,Filler-1943,,,1,study
49,C2_S16,2.0,study,target,False,Filler-6404,,,1,study
50,C2_S27,2.0,study,target,False,Target-1342,,,1,study
51,C2_S28,2.0,study,target,False,Filler-821,,,1,study
52,C2_S15,2.0,study,target,False,Filler-4816,,,1,study
53,C2_S20,2.0,study,target,False,Filler-2945,,,1,study
54,C2_S30,2.0,study,target,False,Filler-6235,,,1,study
55,C2_S25,2.0,study,target,False,Filler-1839,,,1,study
56,C2_S29,2.0,study,target,False,Filler-7591,,,1,study
57,C2_S13,2.0,study,target,False,Filler-7740,,,1,study
58,C2_S19,2.0,study,target,False,Filler-2249,,,1,study
59,C2_S22,2.0,study,target,False,Filler-3064,,,1,study
60,C2_S12,2.0,study,target,False,Target-1840,,,1,study
61,C2_S21,2.0,study,target,False,Target-100,,,1,study
62,C2_S26,2.0,study,target,False,Filler-774,,,1,study
63,F3,,study,filler,True,fillers_images/nonhuman4.jpg,nonhuman4.jpg,3.0,1,study
64,C3_S7,3.0,study,target,False,Filler-862,,,1,study
65,C3_S11,3.0,study,target,False,Target-832,,,1,study
66,C3_S14,3.0,study,target,False,Filler-4328,,,1,study
67,C3_S16,3.0,study,target,False,Filler-2586,,,1,study
68,C3_S10,3.0,study,target,False,Filler-1554,,,1,study
69,C3_S17,3.0,study,target,False,Filler-1768,,,1,study
70,C3_S6,3.0,study,target,False,Filler-7091,,,1,study
71,C3_S4,3.0,study,target,False,Target-1562,,,1,study
72,C3_S18,3.0,study,target,False,Filler-930,,,1,study
73,C3_S5,3.0,study,target,False,Target-400,,,1,study
74,C3_S19,3.0,study,target,False,Filler-2315,,,1,study
75,C3_S2,3.0,study,target,False,Filler-5539,,,1,study
76,C3_S3,3.0,study,target,False,Target-415,,,1,study
77,C3_S13,3.0,study,target,False,Filler-891,,,1,study
78,C3_S15,3.0,study,target,False,Target-1441,,,1,study
79,C3_S12,3.0,study,target,False,Filler-379,,,1,study
80,C3_S8,3.0,study,target,False,Target-1258,,,1,study
81,C3_S1,3.0,study,target,False,Filler-7224,,,1,study
82,C3_S20,3.0,study,target,False,Filler-1477,,,1,study
83,C3_S9,3.0,study,target,False,Filler-4259,,,1,study
84,F4,,study,filler,True,fillers_images/human3.jpg,human3.jpg,4.0,1,study
85,C4_S3,4.0,study,target,False,Target-899,,,1,study
86,C3_S24,3.0,study,target,False,Target-66,,,1,study
87,C4_S2,4.0,study,target,False,Filler-2182,,,1,study
88,C4_S9,4.0,study,target,False,Target-586,,,1,study
89,C3_S22,3.0,study,target,False,Filler-832,,,1,study
90,C3_S26,3.0,study,target,False,Target-1050,,,1,study
91,C3_S27,3.0,study,target,False,Target-1025,,,1,study
92,C3_S25,3.0,study,target,False,Filler-2120,,,1,study
93,C4_S8,4.0,study,target,False,Filler-6125,,,1,study
94,C4_S4,4.0,study,target,False,Filler-7961,,,1,study
95,C3_S21,3.0,study,target,False,Filler-1132,,,1,study
96,C4_S7,4.0,study,target,False,Filler-7571,,,1,study
97,C3_S30,3.0,study,target,False,Filler-4667,,,1,study
98,C3_S29,3.0,study,target,False,Target-708,,,1,study
